Song Name,Artist(s),Album,Duration
TiK ToK,Kesha,TiK-Tok - Remixes,3:20
Blank - HYLO Remix,"Disfigure, HYLO",Blank (HYLO Remix),3:12
Dandelions,Ruth B.,Safe Haven,3:53
The Emptiness Machine,Linkin Park,From Zero,3:10
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],"Daft Punk, Pharrell Williams, Nile Rodgers",Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],4:08
Let Me Love You,"DJ Snake, Justin Bieber",Encore,3:25
This Is How We Do,Katy Perry,PRISM,3:24
Ride,Twenty One Pilots,Blurryface,3:34
Copines,Aya Nakamura,NAKAMURA,2:51
"You're My Heart, You're My Soul",Modern Talking,The First & Second Album (30th Anniversary Edition),5:34
Going Bad (feat. Drake),"Meek Mill, Drake",Championships,3:00
Breaking the Habit,Linkin Park,Meteora (Bonus Edition),3:16
Beat It,Michael Jackson,Thriller,4:18
Let Me Down Slowly,Alec Benjamin,Narrated For You,2:49
Talk Dirty (feat. 2 Chainz),"Jason Derulo, 2 Chainz",Tattoos (Deluxe Edition),2:57
YOSEMITE,Travis Scott,ASTROWORLD,2:30
Panini,Lil Nas X,Panini,1:54
i'm yours,Isabel LaRosa,i'm yours,2:25
More Than You Know,"Axwell /\ Ingrosso, Axwell, Sebastian Ingrosso",More Than You Know,3:23
Gimme More,Britney Spears,Blackout,4:11
Dino,Mountkid,Dino,3:08
Pray For Me,"The Weeknd, Kendrick Lamar",The Highlights,3:31
Stay,"Zedd, Alessia Cara",Stay,3:30
Borderline,Tame Impala,The Slow Rush,3:57
I Knew You Were Trouble (Taylor's Version),Taylor Swift,Red (Taylor's Version),3:39
All That She Wants,Ace of Base,The Sign,3:31
Say It Right,Nelly Furtado,Loose,3:43
Smooth Operator - Single Version,Sade,The Best of Sade,4:18
Broken Angel (feat. Helena),"Arash, Helena",SUPERMAN,3:11
Dance The Night - From Barbie The Album,Dua Lipa,Dance The Night (From Barbie The Album),2:56
We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,Red (Taylor's Version),3:13
New Rules,Dua Lipa,Dua Lipa (Complete Edition),3:29
Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis,",The Heist,4:18
Under The Influence,Chris Brown,Indigo (Extended),3:04
Love Me Again,John Newman,Tribute,3:59
Wanna Go,"Felix Cartal, Aiko",Wanna Go,3:38
The Night We Met,Lord Huron,Strange Trails,3:28
Tabeeb Garah,George Wassouf,Tabeeb Garah,6:21
Everybody Wants To Rule The World,Tears For Fears,Songs From The Big Chair (Super Deluxe Edition),4:11
You and I,d4vd,Petals to Thorns,2:32
GATÚBELA,"KAROL G, Maldy",GATÚBELA,3:29
Counting Stars,OneRepublic,Native,4:17
On & On,"Cartoon, Jéja, Daniel Levi",On & On,3:27
Dance for You,Beyoncé,6:17,
Goosebumps - Remix,"Travis Scott, HVME",Goosebumps (Remix),2:42
Rise,"Jonas Blue, Jack & Jack",Blue,3:14
No Role Modelz,J. Cole,2014 Forest Hills Drive,4:52
We Meen Ekhtar,Sherine,Ana Kteer,4:31
Wicked Game,Chris Isaak,Heart Shaped World,4:49
Paper Rings,Taylor Swift,Lover,3:42
Uptown Funk (feat. Bruno Mars),"Mark Ronson, Bruno Mars",Uptown Special,4:29
Love You Like A Love Song,Selena Gomez & The Scene,When The Sun Goes Down,3:08
You Belong With Me (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),3:51
Into It,Chase Atlantic,Chase Atlantic,3:16
Lush Life,Zara Larsson,So Good,3:21
Better Off Alone,Alice Deejay,Who Needs Guitars Anyway?,3:34
Daddy Cool,Boney M.,Take The Heat Off Me,3:28
WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,4:21
It's Not so Bad,Dybbukk,It&#039;s Not so Bad,2:20
Jailhouse Rock,Elvis Presley,Platinum - A Life In Music,2:26
Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),2:56
FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",UTOPIA,3:11
Amazing,INNA,Hot,3:27
كلام عينيه,Sherine,نساى,3:55
No Rival,"Egzod, Maestro Chives, Alaina Cross",No Rival,3:18
Anti-Hero,Taylor Swift,Midnights,3:20
Clear My Head,ellis,Clear My Head,3:37
"Thunderclouds (feat. Sia, Diplo, and Labrinth)","Sia, Diplo, Labrinth, LSD","LABRINTH, SIA & DIPLO PRESENT... LSD",3:07
PASSO BEM SOLTO - Ultra Slowed,ATLXS,PASSO BEM SOLTO (Versions),2:17
I Can't Hear It Now (from the series Arcane League of Legends),"Freya Ridings, Arcane, League of Legends",I Can't Hear It Now (from the series Arcane League of Legends),2:41
Smack That,"Akon, Eminem",Konvicted,3:32
Dream A Little Dream Of Me,The Mamas & The Papas,The Papas & The Mamas,3:14
I Feel It Coming,"The Weeknd, Daft Punk",Starboy,4:29
Arhbo [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"Ozuna, RedOne, GIMS, FIFA Sound",Arhbo [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],3:39
2 Phút Hơn - KAIZ Remix,"Pháo, KAIZ",2 Phút Hơn (KAIZ Remix),3:03
Private Love,Delyno,Private Love,3:13
Rosanna,TOTO,Toto IV,5:31
Lemon Tree,Fools Garden,Dish of the Day,3:11
Cheap Thrills,Sia,This Is Acting,3:31
Somewhere Only We Know,"Gustixa, rhianne",Somewhere Only We Know,3:04
Mood (feat. iann dior),"24kGoldn, iann dior",El Dorado,2:20
"Audio (feat. Sia, Diplo, and Labrinth)","Sia, Diplo, Labrinth, LSD","LABRINTH, SIA & DIPLO PRESENT... LSD",3:24
bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",3:14
Don't Start Now,Dua Lipa,Future Nostalgia,3:03
Not Into You,Brooksie,Not Into You,2:37
Werewolves of London,Warren Zevon,Excitable Boy,3:29
Black Betty,Ram Jam,Ram Jam,3:58
Resonance,Home,Odyssey,3:32
Bébé - Black edition,Nej,Enchantée (Black Edition),2:58
Buttercup,Jack Stauber,Pop Food,3:28
YAD,Vanna Rainelle,YAD,3:00
SLIDE,Chase Atlantic,BEAUTY IN DEATH,3:55
You Should Be Dancing,Bee Gees,Children Of The World,4:16
Birthday,Anne-Marie,Birthday,3:01
BUTTERFLY EFFECT,Travis Scott,ASTROWORLD,3:10
SCOOP (feat. Doja Cat),"Lil Nas X, Doja Cat",MONTERO,2:54
She Doesn't Mind,Sean Paul,Tomahawk Technique,3:47
hotline (edit),Billie Eilish,hotline (edit),1:00
just friends,potsu,just friends,2:52
3la Bali,Sherine,Lazem A3eesh,4:39
Crazy In Love (feat. JAY-Z),"Beyoncé, JAY-Z",Dangerously In Love,3:55
You and I,d4vd,Petals to Thorns,2:32
No Wahala,1da Banton,Original Vibe Machine,2:42
Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",The Heist,4:18
I Follow Rivers x Meet Me Halfway - Medley Version,smashup,I Follow Rivers x Meet Me Halfway (Medley Version),4:00
Maniac,Michael Sembello,Flashdance (Original Soundtrack From The Motion Picture),4:04
No Idea,Don Toliver,Heaven Or Hell,2:34
Shapeshifter,Indi Star,eMotion Sick,2:04
Die With A Smile,"Lady Gaga, Bruno Mars",Die With A Smile,4:11
You Get Me So High,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,2:33
Toosie Slide,Drake,Dark Lane Demo Tapes,4:07
We No Speak Americano (Edit),"Yolanda Be Cool, DCup",We No Speak Americano,2:37
ME! (feat. Brendon Urie of Panic! At The Disco),"Taylor Swift, Brendon Urie, Panic! At The Disco",Lover,3:13
Butterflies,Issey Cross,Butterflies,2:40
Don't Be so Shy - Filatov & Karas Remix,"Imany, Filatov & Karas",The Wrong Kind of War,3:11
Beautiful People (feat. Khalid),"Ed Sheeran, Khalid",No.6 Collaborations Project,3:17
Blur,Stellar,Blur,2:11
i like the way you kiss me,Artemas,yustyna,2:22
Heartless,Kanye West,808s & Heartbreak,3:31
Free (Mood II Swing Radio Edit),"Ultra Naté, Mood II Swing",Free - The Strictly Collection,3:53
Doubt,Twenty One Pilots,Blurryface,3:11
Where Are You Now,"Lost Frequencies, Calum Scott",All Stand Together,2:29
Clementine,"Ditch Days, Laure Briard",Blossom,3:00
La Tortura (feat. Alejandro Sanz),"Shakira, Alejandro Sanz",Fijación Oral Volumen 1 (Expanded Edition),3:36
Self Control,Laura Branigan,Self Control,4:06
September,"Earth, Wind & Fire",September (sped up + slowed),3:36
I Don't Care (with Justin Bieber),"Ed Sheeran, Justin Bieber",I Don't Care (with Justin Bieber),3:39
Who's That Chick? (feat. Rihanna),"David Guetta, Rihanna",One More Love,3:21
Leave The Lights On,Meiko,The Bright Side,4:08
Angry Birds Theme,Ari Pulkkinen,Angry Birds (Original Game Soundtrack Extended Edition),1:08
Bad Dreams,Teddy Swims,I've Tried Everything But Therapy (Part 2),3:04
Don't Worry (with Ray Dalton) - Radio Edit,"Madcon, Ray Dalton",Don't Worry (feat. Ray Dalton),3:34
Butterflies,Giulio Cercato,Butterflies,2:59
Just Can’t Get Enough,Black Eyed Peas,The Beginning,3:39
Rise,Lynnic,Rise,3:01
Can I Get It,Adele,3:30,
Snakes (from the series Arcane League of Legends),"MIYAVI, PVRIS, Arcane, League of Legends",Snakes (from the series Arcane League of Legends),2:41
Dirty Thoughts,Chloe Adams,The Monster You Made Me,2:09
Chlorine,Twenty One Pilots,Trench,5:24
Gucci Gang,Lil Pump,Lil Pump,2:04
STARGAZING,Travis Scott,ASTROWORLD,4:30
SexOnTheBeat,ADÉLA,The Provocateur,2:46
Caramelldancing - Radio Version,Caramella Girls,Caramelldancing,2:56
Feel It (From “Invincible”),d4vd,Feel It (From “Invincible”),2:37
Shut up My Moms Calling (Sped up),Hotel Ugly,Shut up My Moms Calling (Sped up),2:15
Better,Khalid,Suncity,3:49
Sun,Derik Fein,Derik Fein Essentials,3:02
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,Voulez-Vous,4:52
California Dreamin' - Single Version,The Mamas & The Papas,If You Can Believe Your Eyes & Ears,2:42
Because You Move Me,"Tinlicker, Helsloot",Because You Move Me,3:16
Ghost,Justin Bieber,Justice,2:33
HOV - Remix,"Connor Price, Nic D, GRAHAM",HOV (Remix),2:46
La Isla Bonita,Madonna,True Blue,4:02
Dead Or Alive,"Stileto, Madalen Duke",Dead or Alive,2:27
Praise The Lord (Da Shine) (feat. Skepta),"A$AP Rocky, Skepta",TESTING,3:25
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",Future Nostalgia,3:23
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Mufasa, Dopamine",Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],2:49
Ma Baker,Boney M.,Love For Sale,4:36
Me and the Devil,Soap&Skin,Sugarbread,3:05
5% TINT,Travis Scott,ASTROWORLD,3:16
Passionfruit,Drake,More Life,4:58
Adriana Lima,Marwan Moussa,Adriana Lima,3:01
Skyfall,Adele,Skyfall,4:46
Rise Up,TheFatRat,Rise Up,2:49
GIANTS,"True Damage, Becky G, Keke Palmer, SOYEON, Duckwrth, Thutmose, League of Legends",GIANTS,3:11
Cheri Cheri Lady,Modern Talking,Let's Talk About Love,3:46
Hot,INNA,Hot,3:37
Stronger,Kanye West,Graduation,5:11
Scarface (Push It To The Limit),Paul Engemann,Scarface (Expanded Motion Picture Soundtrack),2:58
Somebody That I Used To Know,"Gotye, Kimbra",Making Mirrors,4:04
Intentions (feat. Quavo),"Justin Bieber, Quavo",Changes,3:32
Phoenix,"Netrum, Halvorsen",Phoenix,3:58
Eleven Weeks,Vansire,"The Rolling, Driftless North",3:05
Shower,Becky G,Shower,3:26
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),10:13
Training Season,Dua Lipa,Radical Optimism,3:29
Lean On (feat. MØ & DJ Snake),"Major Lazer, MØ, DJ Snake",Peace Is the Mission,2:56
Kadaba,Karim Osama,Kadaba,2:55
JOKER,Dax,JOKER,4:07
Cry,Cigarettes After Sex,Cry,4:16
End of Beginning,Djo,DECIDE,2:39
Fisherman's Blues - 2006 Remaster,The Waterboys,Fisherman's Blues,4:26
All The Things She Said,"Seraphine, Jasmine Clarke",All The Things She Said,2:11
Hit the Road Jack,Ray Charles,True Genius,1:59
Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Playboi Carti, Madonna",Popular (Music from the HBO Original Series),3:35
What Did I Miss?,Drake,What Did I Miss?,3:14
Did It Again,Lil Tecca,We Love You Tecca,1:56
I Am Rock,rock,"EA Sports Soundtrax, Vol. 1 (Original Soundtrack)",3:50
Mortals,Warriyo,Mortals,3:48
