Song Name,Artist(s),Album,Duration
I Don't Believe in the Sun,The Magnetic Fields,69 Love Songs,4:16
The Weekend,Modern Baseball,Sports,3:30
Polar Bear - 2001 Remaster,Ride,Nowhere (Expanded),4:45
"Yeah! Oh, Yeah!",The Magnetic Fields,69 Love Songs,2:19
Roses,The Magnetic Fields,69 Love Songs,0:27
3rd Planet,Modest Mouse,The Moon & Antarctica,3:58
Zebra,The Magnetic Fields,69 Love Songs,2:15
Petal Dance,gingerbee,Apiary,3:42
"Washington, D.C.",The Magnetic Fields,69 Love Songs,1:53
Punk Love,The Magnetic Fields,69 Love Songs,0:58
Underwear,The Magnetic Fields,69 Love Songs,2:49
Papa Was a Rodeo,The Magnetic Fields,69 Love Songs,5:01
The Night You Can't Remember,The Magnetic Fields,69 Love Songs,2:17
Bitter Tears,The Magnetic Fields,69 Love Songs,2:51
Is It Because I'm Black,Syl Johnson,Is It Because I'm Black,7:34
Asleep and Dreaming,The Magnetic Fields,69 Love Songs,1:53
A Pretty Girl Is Like,The Magnetic Fields,69 Love Songs,1:50
Experimental Music Love,The Magnetic Fields,69 Love Songs,0:29
Re-Do,Modern Baseball,Sports,2:11
My Sentimental Melody,The Magnetic Fields,69 Love Songs,3:07
Acoustic Guitar,The Magnetic Fields,69 Love Songs,2:37
Kaleidoscope - 2001 Remaster,Ride,Nowhere (Expanded),3:01
Tears Over Beers,Modern Baseball,Sports,2:48
Untitled (Cont.),Brave Little Abacus,Just Got Back from the Discomfort We're Alright,3:40
"Fido, Your Leash Is Too Long",The Magnetic Fields,69 Love Songs,2:33
The One You Really Love,The Magnetic Fields,69 Love Songs,2:53
(Crazy for You But) Not That Crazy,The Magnetic Fields,69 Love Songs,2:18
How to Say Goodbye,The Magnetic Fields,69 Love Songs,2:48
@chl03k,Modern Baseball,Sports,1:39
In a Different Place - 2001 Remaster,Ride,Nowhere (Expanded),5:28
"Abigail, Belle of Kilronan",The Magnetic Fields,69 Love Songs,2:00
I Shatter,The Magnetic Fields,69 Love Songs,3:09
Grand Canyon,The Magnetic Fields,69 Love Songs,2:28
If You Don't Cry,The Magnetic Fields,69 Love Songs,3:06
Promises of Eternity,The Magnetic Fields,69 Love Songs,3:46
Dark Center Of The Universe,Modest Mouse,The Moon & Antarctica,5:02
Queen of the Savages,The Magnetic Fields,69 Love Songs,2:12
Long-Forgotten Fairytale,The Magnetic Fields,69 Love Songs,3:37
Love is Like a Bottle of Gin,The Magnetic Fields,69 Love Songs,1:46
As the World Caves In,Matt Maltese,Bad Contestant,3:38
Tears Over Beers,Modern Baseball,Sports,2:48
All My Little Words,The Magnetic Fields,69 Love Songs,2:46
World Love,The Magnetic Fields,69 Love Songs,3:07
I'm Sorry I Love You,The Magnetic Fields,69 Love Songs,3:06
The Cactus Where Your Heart Should Be,The Magnetic Fields,69 Love Songs,1:11
Strange Eyes,The Magnetic Fields,69 Love Songs,2:01
A Chicken With Its Head Cut Off,The Magnetic Fields,69 Love Songs,2:41
It's a Crime,The Magnetic Fields,69 Love Songs,3:54
The Things We Did and Didn't Do,The Magnetic Fields,69 Love Songs,2:11
Let's Pretend We're Bunny Rabbits,The Magnetic Fields,69 Love Songs,2:25
If You're Feeling Sinister,Belle and Sebastian,If You're Feeling Sinister,5:21
Pool - Stripped,Samia,Pool,4:03
I Think I Need a New Heart,The Magnetic Fields,69 Love Songs,2:32
Hours Outside in the Snow,Modern Baseball,Sports,3:30
Epitaph for My Heart,The Magnetic Fields,69 Love Songs,2:50
Come Back From San Francisco,The Magnetic Fields,69 Love Songs,2:48
Dreams Burn Down - 2001 Remaster,Ride,Nowhere (Expanded),6:04
Absolutely Cuckoo,The Magnetic Fields,69 Love Songs,1:34
Busby Berkeley Dreams,The Magnetic Fields,69 Love Songs,3:36
Punk Love,The Magnetic Fields,69 Love Songs,0:58
Love in the Shadows,The Magnetic Fields,69 Love Songs,2:54
When You Wash Your Hair,Matt Maltese,Krystal,3:12
The Death of Ferdinand de Saussure,The Magnetic Fields,69 Love Songs,3:10
In a Different Place - 2001 Remaster,Ride,Nowhere (Expanded),5:28
The Sun Goes Down and the World Goes Dancing,The Magnetic Fields,69 Love Songs,2:46
You're My Only Home,The Magnetic Fields,69 Love Songs,2:17
My Only Friend,The Magnetic Fields,69 Love Songs,2:01
Seagull - 2001 Remaster,Ride,Nowhere (Expanded),6:08
Sweet-Lovin' Man,The Magnetic Fields,69 Love Songs,4:59
Reno Dakota,The Magnetic Fields,69 Love Songs,1:05
Love Is Like Jazz,The Magnetic Fields,69 Love Songs,2:56
As the World Caves In,Matt Maltese,Bad Contestant,3:38
Nothing Matters When We're Dancing,The Magnetic Fields,69 Love Songs,2:27
Feeling Like Children,gingerbee,Apiary,3:04
I Can't Touch You Anymore,The Magnetic Fields,69 Love Songs,3:05
Two Kinds of People,The Magnetic Fields,69 Love Songs,1:10
Xylophone Track,The Magnetic Fields,69 Love Songs,2:47
When My Boy Walks Down the Street,The Magnetic Fields,69 Love Songs,2:38
Wi' Nae Wee Bairn Ye'll Me Beget,The Magnetic Fields,69 Love Songs,1:55
Time Enough for Rocking When We're Old,The Magnetic Fields,69 Love Songs,2:03
Very Funny,The Magnetic Fields,69 Love Songs,1:26
How Fucking Romantic,The Magnetic Fields,69 Love Songs,0:58
No One Will Ever Love You,The Magnetic Fields,69 Love Songs,3:14
Blue You,The Magnetic Fields,69 Love Songs,3:03
I Don't Want to Get Over You,The Magnetic Fields,69 Love Songs,2:22
Boa Constrictor,The Magnetic Fields,69 Love Songs,0:58
The Way You Say Good-Night,The Magnetic Fields,69 Love Songs,2:44
Again,Archive,You All Look the Same to Me,16:18
The Book of Love,The Magnetic Fields,69 Love Songs,2:42
Parades Go By,The Magnetic Fields,69 Love Songs,2:56
Kiss Me Like You Mean It,The Magnetic Fields,69 Love Songs,2:00
The Subway,Chappell Roan,The Subway,4:12
(Crazy for You But) Not That Crazy,The Magnetic Fields,69 Love Songs,2:18
Meaningless,The Magnetic Fields,69 Love Songs,2:08
Black Me Out,Against Me!,Transgender Dysphoria Blues,3:07
The Luckiest Guy on the Lower East Side,The Magnetic Fields,69 Love Songs,3:43
For We Are the King of the Boudoir,The Magnetic Fields,69 Love Songs,1:14
